id,name,social_security_number,address,mobile_phone_number,email_address,home_phone_number
001,matti,12355,adddy 2,00000,testemail,blablabla
002,Sara,430730-9923,Microsoft street 1,1358799863,example55@gmail.com,1234
003,Raggi,164862-8280,AMZN street 1,9861589627,example38@gmail.com,2345
004,matti,12355,United States of America,124324,this is areallylong email,435345345
005,Sara,430730-9923,Microsoft street 1,1358799863,example55@gmail.com,1234
006,Raggi,164862-8280,AMZN street 1,9861589627,example38@gmail.com,2345
007,matti,12355,oldugrandi,124324,ssdfsdf,435345345
008,Sara,430730-9923,Microsoft street 1,1358799863,example55@gmail.com,1234
009,Raggi,164862-8280,AMZN street 1,9861589627,example38@gmail.com,2345
010,Þorri,04102919129,fdfdfd,21321,dfdfd,12321
011,Þorri,04102919129,fdfdfd,21321,dfdfd,12321
012,Þorri,232323232,dsddw,7722112,dsdsds,21321321
013,Aron,1231321,dsadsa,123213,12312,12321
014,Aron,312312,dsdsdsds,3213213,321312,21321
015,Matti,375131-5285,Mac street 1,3671102719,example12@gmail.com,
016,Sara,282430-4230,Microsoft street 1,4741591995,example50@gmail.com,
017,Raggi,894754-1474,AMZN street 1,7986110646,example79@gmail.com,
018,Banani,433284-2264,FB street 1,6593129729,example16@gmail.com,
019,Epli,147284-7861,Apple street 1,9456426407,example85@gmail.com,
